Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Radial Res,Max Radial Res,Mean Radial Res,Min Angular Res,Max Angular Res,Mean Angular Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Median,EW Mean,EW Std,Normal EW Median,Normal EW Mean,Normal EW Std,Pandora Closest Distance,Pandora Closest Long,Pandora Distance,Pandora Long,Pandora Earliest Distance,Pandora Earliest Long,Pandora Latest Distance,Pandora Latest Long,Prometheus Closest Distance,Prometheus Closest Long,Prometheus Distance,Prometheus Long,Prometheus Earliest Distance,Prometheus Earliest Long,Prometheus Latest Distance,Prometheus Latest Long
IOSIC_276RB_COMPLITB4001_SI,0,16414,2017-05-26T20:28:43,0.0,359.98,188.09,26.09,113.2,72.383,265.244,266.369,265.821,119.721,207.956,166.562,56.750652,154.73346,79.608536,0.0,0.0,0.0,126.58747,132.21358,129.6028,70.416336,75.182396,72.9297,63.26915439,91.19,4.28062564,4.42503561,1.11281657,1.23414216,1.29005335,0.30281856,807.394,254.084,1296.945,255.02,2070.272,258.154,874.978,253.879,715.893,347.047,--,--,753.317,344.097,802.159,346.235
ISS_000RI_SATSRCHAP001_PRIME,0,17958,2004-06-20T19:15:28,0.0,359.98,180.06,171.938,180.675,177.368,111.827,113.477,112.667,58.46,68.734,64.702,38.195957,40.904255,39.345722,0.0,0.0,0.0,67.25348,67.353516,67.30996,73.856476,73.90929,73.88395,65.44991752,99.77,2.06054526,2.26526362,0.71346826,0.57208373,0.62880766,0.19806073,1160.414,27.923,1173.237,27.78,1751.696,29.576,1785.825,24.026,491.478,53.223,992.508,54.46,502.918,53.13,507.641,56.391
ISS_006RI_LPHRLFMOV001_PRIME,0,17316,2005-04-13T02:37:52,0.0,359.98,184.05,43.214,56.746,48.178,191.93,193.477,192.695,209.868,224.816,215.483,5.9229774,16.404602,6.922879,0.0,0.0,0.0,31.158085,39.418076,35.58776,83.16902,83.7301,83.4709,67.9820476,96.2,3.91246751,4.02639803,0.76553152,0.44279273,0.45765511,0.08712145,1225.218,190.775,1719.529,187.18,1225.291,190.784,1273.335,185.269,416.37,192.865,998.84,192.26,490.778,189.843,421.805,192.925
ISS_007RI_AZSCNLOPH001_PRIME,0,17509,2005-05-02T05:53:52,0.0,359.98,179.66,84.414,255.238,164.975,243.603,244.48,244.014,0.004,359.995,261.017,28.667898,65.901085,47.227493,0.0,0.0,0.0,5.7398376,26.251131,14.953823,62.386364,70.87746,65.76463,68.1692899,97.27,1.47919258,1.50304095,0.43859067,0.60477439,0.61356439,0.17954981,1221.072,11.056,1656.305,12.82,1596.117,15.576,1366.82,11.667,411.858,294.46,--,--,630.549,291.687,985.904,293.875
ISS_007RI_HPMRDFMOV001_PRIME,0,9274,2005-05-04T01:56:16,0.0,359.98,97.39,134.159,148.324,140.006,248.557,249.433,249.007,245.558,259.001,250.998,4.8324056,10.038877,5.568164,0.0,0.0,0.0,117.139084,126.45205,121.35892,93.81844,96.68235,95.124504,68.18652858,51.52,8.70582756,8.99057537,1.13397148,0.76480303,0.7978666,0.14503156,1220.542,353.664,--,--,1440.368,358.717,1522.645,354.812,411.204,304.291,--,--,584.358,301.442,1040.356,303.651
ISS_00ARI_SPKMOVPER001_PRIME,0,17197,2004-11-15T08:52:32,13.54,358.08,185.89,148.29,181.33,165.52,150.295,151.938,151.083,0.009,359.997,18.373,27.02021,45.349976,28.431366,0.0,0.0,0.0,84.21324,84.90501,84.58008,77.207726,77.4394,77.30106,66.60331307,95.54,2.61224837,2.68902976,0.59731218,0.57403043,0.59109998,0.13115194,1213.872,113.018,1237.206,113.2,1677.52,116.858,1626.649,111.358,453.013,119.748,576.253,120.12,1190.232,118.818,1202.709,122.051
ISS_029RF_FMOVIE001_VIMS,0,16847,2006-09-28T20:32:15,0.94,338.08,169.49,263.5,273.78,268.98,193.178,194.725,193.958,69.968,79.139,75.022,9.414875,10.43138,9.882035,0.0,0.0,0.0,158.30063,161.91473,160.13878,120.74043,122.6673,121.73365,74.3351139,93.59,10.47918708,10.84713787,2.34291604,5.51736134,5.69638983,1.1932775,983.674,330.621,1982.707,334.4,1982.707,334.405,1827.148,329.26,307.131,150.56,981.852,151.48,751.275,150.153,984.925,153.258
ISS_029RF_FMOVIE002_VIMS,0,10666,2006-09-30T00:32:15,0.0,359.98,117.93,78.647,88.056,83.235,196.328,197.285,196.802,242.319,251.639,246.433,11.066244,11.544299,11.276519,0.0,0.0,0.0,158.80467,161.00053,159.92007,118.505295,119.567535,119.00646,74.3486806,59.26,11.51489016,11.57596722,2.16413749,5.57994965,5.6064975,1.01353983,982.66,319.027,--,--,1665.181,323.797,1154.057,319.592,306.932,157.114,777.593,156.68,1096.639,156.43,830.163,157.849
ISS_030RF_FMOVIE001_VIMS,0,9610,2006-10-16T01:34:07,0.0,359.98,227.44,262.636,271.344,266.964,239.648,240.521,240.087,22.988,30.823,26.877,10.425333,10.865238,10.629146,0.0,0.0,0.0,150.44765,152.59543,151.52309,130.1524,131.51881,130.8503,74.56557364,53.39,5.58309677,5.69451287,1.03567355,3.66346958,3.72464383,0.6772897,974.703,174.077,--,--,1608.803,175.671,1418.444,173.392,304.269,242.31,--,--,937.285,241.771,829.227,243.042
ISS_031RF_FMOVIE001_VIMS,0,16695,2006-10-31T18:37:35,0.0,359.98,186.09,91.562,101.048,95.501,282.071,283.615,282.837,169.491,177.711,172.664,9.339399,9.820332,9.591308,0.0,0.0,0.0,156.15068,160.30232,158.29521,124.81006,128.27803,126.52449,74.78418078,92.75,8.54947588,8.7033432,1.27092904,5.08662354,5.17804656,0.75854927,967.783,29.125,1511.48,30.48,1921.885,31.712,2017.463,26.731,301.425,327.51,1384.88,326.14,780.451,324.904,552.214,327.919
