FDS      scan   SHA   width   inc     em     phase    EW    obsHA
34832.13   1   263.9  10.0   86.20   82.90    12.6   5.37   193.7
34852.57   1   263.9  10.0   86.19   83.33    12.7   2.42   194.2
34871.13   1    93.9  10.0   86.17   84.05    17.2   2.17   194.9
34871.17   1   262.9  10.0   86.17   83.91    12.9   2.27   194.9
34880.11   1   149.9  10.0   86.17   84.23    17.4   5.65   195.4
34929.38   1   232.8  10.0   86.14   94.96    23.5   2.91   206.9
34930.44   1   137.8   6.0   86.13   95.37    39.7   2.78   208.0
34931.09   1   161.8  10.0   86.13   96.28    38.9   2.33   208.5
34934.01   1   133.8  10.0   86.13   99.02    47.9   3.00   212.4
34936.08   1   294.8  10.0   86.13  102.76    25.6   2.11   216.9
34940.04   1   234.3   5.0   86.13  134.33    68.7   0.878  234.5
34940.11   1   233.8   2.0   86.13  135.70    70.9   1.152  235.5
34940.18   1   234.4   1.6   86.13  137.21    72.6   0.989  236.5
34953.57   1   120.8  10.0   86.13   80.41   156.3  21.90    33.3
34956.43   1   161.8  10.0   86.13   78.41   147.4  17.04    37.3
34956.55   1   120.8  10.0   86.13   76.78   148.9   6.61    37.5
34957.07   1    86.8  10.0   86.13   74.99   146.3   4.65    37.7
34957.19   1    71.8  10.0   86.13   74.15   143.8   4.72    37.9
34957.31   1    58.3   8.0   86.13   73.54   141.1   3.77    38.1
34962.40   1    92.7  10.0   86.14   71.61   138.7   4.35    42.3
34962.52   1   279.7  10.0   86.14   74.25   127.9   7.18    42.4
34973.49   1    29.7   8.0   86.14   67.90   125.8   1.62    46.8
34974.23   1    96.7  10.0   86.14   68.49   131.2   2.18    47.0
34995.38   1   248.7  10.0   86.15   68.37   123.6   2.02    50.5
35008.52   1   267.6  10.0   86.16   67.34   121.8   1.52    51.6
43684.29   1   247.5  10.0   82.12   79.02     6.88  1.787  186.9
43695.28   1   234.5  10.0   82.11   78.96     7.01  1.387  186.9
43795.53   1    58.4  10.0   82.06   78.80      8.9  1.425  187.6
43805.50   1    59.4  10.0   82.05   78.75     9.10  0.999  187.7
43810.36   1    68.4  10.0   82.05   78.70     9.29  1.114  187.7
43849.14   1   286.7  10.0   82.03   78.32      7.6  1.204  188.3
43854.16   1    78.3  10.0   82.02   78.33     10.3  1.409  188.4
43858.41   1   262.3  10.0   82.02   78.09     7.90  1.401  188.5
43859.55   1    72.3  10.0   82.02   78.31    10.44  1.381  188.5
43865.04   1   264.3  10.0   82.02   78.03     7.98  1.747  188.6
43970.12   1   102.7  10.0   81.97   74.35     23.0  0.688  196.7
43970.16   1   113.0  10.0   81.97   74.08     23.2  0.626  196.7
43970.20   1   324.7   5.0   81.97   75.06     14.0  0.443  196.7
43970.24   1   320.2   5.0   81.97   74.98     13.9  0.685  196.7
43970.28   1   288.8  10.0   81.97   74.27     13.3  0.604  196.8
43970.32   1   280.7  10.0   81.97   74.05     13.4  0.709  196.8
43978.05   1   116.2  10.0   81.96   72.86     27.3  0.569  199.4
43978.09   1    74.1   5.0   81.96   74.10     25.4  0.898  199.4
43978.13   1    75.7   5.0   81.96   74.05     25.6  0.901  199.5
43978.17   1   260.7   5.0   81.96   72.03     16.0  0.603  199.5
43978.21   1   264.6   8.0   81.96   72.16     15.8  0.574  199.5
43989.26   1   113.1   3.0   81.95   70.39     38.7  0.447  207.2
43989.30   1   119.6   8.0   81.95   69.98     39.1  0.415  207.2
43989.34   1   126.1   3.0   81.95   69.54     39.4  0.443  207.3
43990.02   1   308.2   4.0   81.95   70.54    19.98  0.995  207.8
43990.06   1   305.3   4.0   81.95   70.34    19.97  0.721  207.8
43993.39   1   124.2  10.0   81.95   68.22    47.71  1.437  213.1
43999.03   1   189.2   6.0   81.95   55.35    71.08  0.359  230.1
43999.15   1   190.9   4.5   81.95   55.06    70.29  0.564  231.2
43999.22   1   315.1   7.5   81.95   63.92    31.15  0.431  231.5
44005.08   1   311.17  1.4   81.94   16.71    93.88  0.228  311.6
44005.10   1   312.61  1.3   81.94   17.04    92.96  0.215  312.3
44005.12   1   313.32  1.3   81.94   17.27    93.41  0.265  313.1
44006.43   1   335.20  1.2   81.94   88.60   155.09 35.211  345.8
44006.49   1   315.17  10.0  81.94   91.34   138.22 14.005  347.7
44095.40   1    98.96  20.0  81.83  120.22    96.82  1.498   87.5
44106.36   1   141.93  10.0  81.82  119.61    97.51  0.663   88.0
44106.43   1   146.93   8.0  81.82  119.53    97.60  0.628   88.0
44106.50   1   139.93   8.0  81.82  119.64    97.46  0.475   88.0
44107.33   1   141.93  10.0  81.82  119.60    97.46  0.604   88.1
44107.40   1   142.93  10.0  81.82  119.58    97.47  0.548   88.1
44107.47   1   139.93   8.0  81.82  119.63    97.40  0.510   88.1
